CMDLINE python realtime_serial.py
MEM 381.343750 1675698984.2994
MEM 381.343750 1675698984.3997
MEM 381.343750 1675698984.5001
MEM 381.343750 1675698984.6005
MEM 381.343750 1675698984.7011
MEM 381.343750 1675698984.8017
MEM 381.343750 1675698984.9022
MEM 381.343750 1675698985.0026
MEM 381.343750 1675698985.1030
MEM 381.343750 1675698985.2036
MEM 381.343750 1675698985.3042
MEM 381.343750 1675698985.4046
MEM 381.343750 1675698985.5049
MEM 381.343750 1675698985.6054
MEM 381.343750 1675698985.7058
MEM 381.339844 1675698985.8064
MEM 381.343750 1675698985.9069
MEM 381.343750 1675698986.0074
MEM 381.343750 1675698986.1079
MEM 381.343750 1675698986.2085
MEM 381.343750 1675698986.3090
MEM 381.343750 1675698986.4095
MEM 381.343750 1675698986.5100
MEM 381.343750 1675698986.6104
MEM 381.343750 1675698986.7109
MEM 381.343750 1675698986.8116
MEM 381.343750 1675698986.9120
MEM 381.343750 1675698987.0126
MEM 381.343750 1675698987.1133
MEM 381.343750 1675698987.2138
MEM 381.343750 1675698987.3143
MEM 381.343750 1675698987.4148
MEM 381.343750 1675698987.5153
MEM 381.343750 1675698987.6160
MEM 381.343750 1675698987.7164
MEM 381.343750 1675698987.8169
MEM 381.343750 1675698987.9173
MEM 381.343750 1675698988.0179
MEM 381.343750 1675698988.1183
MEM 381.343750 1675698988.2187
MEM 381.343750 1675698988.3194
MEM 381.343750 1675698988.4198
MEM 381.343750 1675698988.5202
MEM 381.343750 1675698988.6205
MEM 381.343750 1675698988.7208
MEM 381.343750 1675698988.8212
MEM 381.343750 1675698988.9216
MEM 381.343750 1675698989.0219
MEM 381.343750 1675698989.1223
MEM 381.343750 1675698989.2226
MEM 381.343750 1675698989.3231
MEM 381.343750 1675698989.4235
MEM 381.343750 1675698989.5238
MEM 381.343750 1675698989.6242
MEM 381.343750 1675698989.7246
MEM 381.343750 1675698989.8249
MEM 381.343750 1675698989.9253
MEM 381.343750 1675698990.0256
MEM 381.343750 1675698990.1261
MEM 381.343750 1675698990.2265
MEM 381.343750 1675698990.3269
MEM 381.343750 1675698990.4273
MEM 381.343750 1675698990.5278
MEM 381.343750 1675698990.6282
MEM 381.343750 1675698990.7286
MEM 381.343750 1675698990.8289
MEM 381.343750 1675698990.9294
MEM 381.343750 1675698991.0298
MEM 381.343750 1675698991.1302
MEM 381.343750 1675698991.2306
MEM 381.343750 1675698991.3310
MEM 381.343750 1675698991.4315
MEM 381.343750 1675698991.5320
MEM 381.343750 1675698991.6324
MEM 381.343750 1675698991.7328
MEM 381.343750 1675698991.8332
MEM 381.343750 1675698991.9336
MEM 381.343750 1675698992.0341
MEM 381.343750 1675698992.1346
MEM 381.343750 1675698992.2353
MEM 381.343750 1675698992.3356
MEM 381.343750 1675698992.4360
MEM 381.343750 1675698992.5362
MEM 381.343750 1675698992.6365
MEM 381.343750 1675698992.7370
MEM 381.343750 1675698992.8375
MEM 381.343750 1675698992.9379
MEM 381.117188 1675698993.0383
MEM 381.628906 1675698993.1388
MEM 381.343750 1675698993.2392
MEM 381.343750 1675698993.3397
MEM 381.343750 1675698993.4400
MEM 381.343750 1675698993.5404
MEM 381.343750 1675698993.6407
MEM 381.343750 1675698993.7412
MEM 381.343750 1675698993.8416
MEM 381.343750 1675698993.9420
MEM 381.343750 1675698994.0425
MEM 381.343750 1675698994.1429
MEM 381.343750 1675698994.2433
MEM 381.343750 1675698994.3438
MEM 381.343750 1675698994.4442
MEM 381.343750 1675698994.5447
MEM 381.343750 1675698994.6452
MEM 381.343750 1675698994.7456
MEM 381.343750 1675698994.8462
MEM 381.343750 1675698994.9466
MEM 381.343750 1675698995.0471
MEM 381.343750 1675698995.1475
MEM 381.343750 1675698995.2480
MEM 381.343750 1675698995.3486
MEM 381.343750 1675698995.4490
MEM 381.343750 1675698995.5497
MEM 381.343750 1675698995.6503
MEM 381.343750 1675698995.7508
MEM 381.343750 1675698995.8513
MEM 381.343750 1675698995.9517
MEM 381.343750 1675698996.0520
MEM 381.343750 1675698996.1523
MEM 381.343750 1675698996.2527
MEM 381.343750 1675698996.3531
MEM 381.343750 1675698996.4534
MEM 381.343750 1675698996.5539
MEM 381.343750 1675698996.6544
MEM 381.343750 1675698996.7550
MEM 381.343750 1675698996.8555
MEM 381.343750 1675698996.9559
MEM 381.343750 1675698997.0566
MEM 381.343750 1675698997.1569
MEM 381.343750 1675698997.2573
MEM 381.343750 1675698997.3577
MEM 381.343750 1675698997.4579
MEM 381.343750 1675698997.5584
MEM 381.343750 1675698997.6586
MEM 381.343750 1675698997.7591
MEM 381.343750 1675698997.8593
MEM 381.343750 1675698997.9597
MEM 381.343750 1675698998.0600
MEM 381.343750 1675698998.1603
MEM 381.343750 1675698998.2607
MEM 381.343750 1675698998.3612
MEM 381.343750 1675698998.4617
MEM 381.343750 1675698998.5622
MEM 381.343750 1675698998.6625
MEM 381.343750 1675698998.7628
MEM 381.343750 1675698998.8631
MEM 381.156250 1675698998.9634
MEM 381.359375 1675698999.0637
MEM 381.359375 1675698999.1641
MEM 381.359375 1675698999.2645
MEM 381.359375 1675698999.3650
MEM 381.359375 1675698999.4653
MEM 381.359375 1675698999.5658
MEM 381.359375 1675698999.6663
MEM 381.359375 1675698999.7668
MEM 381.359375 1675698999.8672
MEM 381.359375 1675698999.9676
MEM 381.359375 1675699000.0680
MEM 381.359375 1675699000.1684
MEM 381.359375 1675699000.2688
MEM 381.359375 1675699000.3693
MEM 381.359375 1675699000.4696
MEM 381.359375 1675699000.5699
MEM 381.359375 1675699000.6704
MEM 381.359375 1675699000.7708
MEM 381.359375 1675699000.8711
MEM 381.359375 1675699000.9716
MEM 381.359375 1675699001.0720
MEM 381.359375 1675699001.1724
MEM 381.359375 1675699001.2728
MEM 381.359375 1675699001.3733
MEM 381.359375 1675699001.4738
MEM 381.359375 1675699001.5741
MEM 381.359375 1675699001.6746
MEM 381.359375 1675699001.7750
MEM 381.359375 1675699001.8755
MEM 381.359375 1675699001.9760
MEM 381.359375 1675699002.0765
MEM 381.359375 1675699002.1767
MEM 381.359375 1675699002.2771
MEM 381.359375 1675699002.3775
MEM 381.359375 1675699002.4777
MEM 381.359375 1675699002.5779
MEM 381.359375 1675699002.6781
MEM 381.359375 1675699002.7782
MEM 381.359375 1675699002.8783
MEM 381.359375 1675699002.9784
MEM 381.152344 1675699003.0786
MEM 381.359375 1675699003.1788
MEM 381.359375 1675699003.2790
MEM 381.359375 1675699003.3792
MEM 381.359375 1675699003.4793
MEM 381.359375 1675699003.5795
MEM 381.359375 1675699003.6797
MEM 381.359375 1675699003.7800
MEM 381.359375 1675699003.8801
MEM 381.359375 1675699003.9805
MEM 381.359375 1675699004.0807
MEM 381.359375 1675699004.1809
MEM 381.359375 1675699004.2810
